rcn;code;title;shortTitle;language
665124;BES-13-2015;Conflict prevention and peace building topic 2: Training curricula for Conflict Prevention and Peace Building personnel;;en
665129;DS-04-2015;Information driven Cyber Security Management;;en
664687;EE-10-2014;Consumer engagement for sustainable energy;;en
665054;EeB-01-2014;Materials for building envelope;;en
665071;MG-8.1b-2014;Smarter design, construction and maintenance ;;en
664736;SFS-08-2014;Resource-efficient eco-innovative food production and processing;;en
664820;ICT-35-2014;Innovation and Entrepreneurship Support;;en
664550;MSCA-NCP-2014;Trans-national cooperation among Marie Sk?odowska-Curie National Contact Points (NCP);;en
664774;ISIB-04b-2015; Improved forest management models ;;en
664552;MSCA-IF-2015-EF;Marie Sk?odowska-Curie Individual Fellowships (IF-EF);;en
665127;DS-02-2014;Access Control;;en
665126;DS-01-2014;Privacy;;en
664773;ISIB-04a-2014;Improved forest data ;;en
664689;EE-12-2014;Socioeconomic research on energy efficiency;;en
665070;MG-7.2b-2014;Towards seamless mobility addressing fragmentation in ITS deployment in Europe;;en
664559;WASTE-4d-2015;Raw materials partnerships;;en
664691;EE-14-2014;Removing market barriers to the uptake of efficient heating and cooling solutions;;en
664690;EE-13-2014;Technology for district heating and cooling;;en
664783;ERC-StG-2014;ERC Starting Grant;;en
664735;SFS-07b-2015;Management and sustainable use of genetic resources ;;en
665146;ISSI-3-2015;Knowledge Sharing Platform;;en
664964;YOUNG-5a-2014;Societal and political engagement of young people and their perspectives on Europe;;en
664699;EE-05-2015;Increasing energy performance of existing buildings through process and organisation innovations and creating a market for deep renovation;;en
664554;MSCA-COFUND-2015-DP;Marie Sk?odowska-Curie Co-funding of regional, national and international programmes (COFUND-DP);;en
664776;ISIB-06-2015;Converting CO2 into chemicals;;en
664775;ISIB-05-2014;Renewable oil crops as a source of bio-based products;;en
665128;DS-03-2015;The role of ICT in Critical Infrastructure Protection;;en
664738;SFS-09-2014;Towards a gradual elimination of discards in European fisheries;;en
664692;EE-15-2014;Ensuring effective implementation of EU product efficiency legislation;;en
664553;MSCA-RISE-2015;Marie Sk?odowska-Curie Research and Innovation Staff Exchange (RISE);;en
664732;SFS-05-2015;Strategies for crop productivity, stability and quality;;en
664592;SC5-15-2015;Strengthening the European Research Area in the domain of Earth Observation;;en
664565;WATER-2a-2014;Water cycle under future climate;;en
664558;WASTE-4a-2014;An EU near-zero waste stakeholder platform;;en
665145;ISSI-2-2014;Citizens and multi-actor engagement for scenario building;;en
665058;EeB-05-2015;Innovative design tools for refurbishing of buildings at district level;;en
664749;SFS-18-2015;Small farms but global markets: the role of small and familiy farms in food and nutrition security;;en
664737;SFS-08-2015;Resource-efficient eco-innovative food production and processing;;en
664727;SFS-01c-2015;Assessing sustainability of terrestrial livestock production ;;en
664555;WASTE-1-2014;Moving towards a circular economy through industrial symbiosis;;en
664556;WASTE-2-2014;A systems approach for the reduction, recycling and reuse of food waste;;en
664781;ISIB-11-2014;Coordination action in support of the implementation by participating States of a Joint Programming Initiative on Agriculture, Food Security and Climate Change;;en
664748;SFS-16-2015;Tackling malnutrition in the elderly;;en
664731;SFS-04-2014;Soil quality and function;;en
664968;REFLECTIVE-4-2015;Cultural opposition in the former socialist countries;;en
664566;WATER-2b-2015;Integrated approaches to food security, low-carbon energy, sustainable water management and climate change mitigation: ;;en
664571;WATER-5a-2014;Strategic cooperation partnerships;;en
664728;SFS-02a-2014;External nutrient inputs ;;en
664967;REFLECTIVE-3-2015;European cohesion, regional and urban policies and the perceptions of Europe;;en
664557;WASTE-3-2014;Recycling of raw materials from products and buildings;;en
664587;SC5-12a-2014;Materials for electronic devices;;en
664729;SFS-02b-2015;Assessing soil-improving cropping systems ;;en
664693;EE-16-2014;Organisational innovation to increase energy efficiency in industry;;en
665057;EeB-04-2014;Support for the enhancement of the impact of EeB PPP projects;;en
664973;REFLECTIVE-9-2014;Social Platform on Reflective Societies;;en
665073;DRS-02-2014;Crisis management topic 2: Tools for detection, traceability, triage and individual monitoring of victims after a mass CBRNE contamination and/or exposure;;en
664600;SC5-20-2015;Boosting the potential of small businesses for eco-innovation and a sustainable supply of raw materials;;en
664763;BG-12-2014;Supporting SMEs efforts for the development - deployment and market replication of innovative solutions for blue growth;;en
664586;SC5-11c-2015;Deep mining on continent and/or in sea-bed ;;en
664979;INT-03-2015;Europe's contribution to a value-based global order and its contestants;;en
664989;INSO-1-2014;ICT-enabled open government;;en
664581;SC5-08-2014;Preparing and promoting innovation procurement for soil decontamination;;en
665060;EeB-07-2015;New tools and methodologies to reduce the gap between predicted and actual energy performances at the level of buildings and blocks of buildings;;en
665059;EeB-06-2015;Integrated solutions of thermal energy storage for building applications;;en
664730;SFS-03a-2014;Native and alien pests in agriculture and forestry ;;en
665072;DRS-01-2015;Crisis management topic 1: potential of current and new measures and technologies to respond to extreme weather and climate events;;en
664569;WATER-4a-2014;Dissemination and exploitation, ICT, knowledge, gaps, research needs, etc;;en
665055;EeB-02-2014;Adaptable envelopes integrated in building refurbishment projects;;en
665148;ISSI-5-2014;Supporting structural change in research organisations to promote Responsible Research and Innovation;;en
664584;SC5-10c-2015;"An EU support mechanism for evidence-based policy on biodiversity &amp; ecosystems services";;en
665061;EeB-08-2015;Integrated approach to retrofitting of residential buildings;;en
665008;NMP-08-2014;Scale-up of nanopharmaceuticals production;;en
664848;LCE-03-2015;Demonstration of renewable electricity and heating/cooling technologies;;en
664850;LCE-04-2015;Market uptake of existing and emerging renewable electricity, heating and cooling technologies;;en
665064;SPIRE-03-2014;Improved downstream processing of mixtures in process industries;;en
664795;ICT-10-2015;Collective Awareness Platforms for Sustainability and Social Innovation;;en
665062;SPIRE-01-2014;Integrated Process Control;;en
664585;SC5-11a-2014;Mining of small and complex deposits and alternative mining;;en
664990;INSO-1-2015;ICT-enabled open government;;en
664796;ICT-11-2014;"FIRE+ (Future Internet Research &amp; Experimentation)";;en
665147;ISSI-4-2015;On-line mechanisms for knowledge-based policy advice;;en
664988;INT-12-2015;The cultural, scientific and social dimension of EU-LAC relations;;en
664751;SFS-20-2015;Sustainable food chains through public policies: the cases of the EU quality policy and of public sector food procurement;;en
664995;INSO-6-2014;Platform for ICT for Learning and Inclusion;;en
664799;ICT-14-2014;Advanced 5G Network Infrastructure for the Future Internet;;en
665068;SPIRE-07-2015;Recovery technologies for metals and other minerals;;en
664802;ICT-17-2014;Cracking the language barrier;;en
664800;ICT-15-2014;Big data and Open Data Innovation and take-up;;en
665065;SPIRE-04-2014;Methodologies, tools and indicators for cross-sectorial sustainability assessment of energy and resource efficient solutions in the process industry;;en
665149;ISSI-5-2015;Supporting structural change in research organisations to promote Responsible Research and Innovation;;en
664726;SFS-01a-2014;Genetics and nutrition and alternative feed sources for terrestrial livestock production ;;en
665003;NMP-03-2015;Manufacturing and control of nanoporous materials;;en
665150;GARRI-1-2014;Fostering RRI uptake in current research and innovations systems;;en
664959;EURO-6-2015;Meeting new societal needs by using emerging technologies in the public sector;;en
665069;SPIRE-08-2015;Solids handling for intensified process technology;;en
664750;SFS-19-2014;Sustainable food and nutrition security through evidence based EU agro-food policy;;en
664605;WIDESPREAD-3-2014;Transnational network of national contact points (NCP);;en
665063;SPIRE-02-2014;Adaptable industrial processes allowing the use of renewables as flexible feedstock for chemical and energy applications;;en
664739;SFS-10a-2014;Scientific basis and tools for preventing and mitigating parasitic diseases of European farmed fish ;;en
665066;SPIRE-05-2015;New adaptable catalytic reactor methodologies for Process Intensification;;en
665143;ISSI-1-2014;Pan-European public outreach: exhibitions and science caf�s engaging citizens in science;;en
664740;SFS-10b-2015;Scientific basis and tools for preventing and mitigating farmed mollusc diseases ;;en
664742;SFS-11b-2015;Consolidating the environmental sustainability of European aquaculture ;;en
664986;INT-10-2015;The European Union and integration challenges in the Balkans;;en
664987;INT-11-2015;European cultural and science diplomacy: exploiting the potential of culture and science in the EU�s external relations;;en
664753;BG-02-2015;Forecasting and anticipating effects of climate change on fisheries and aquaculture;;en
665067;SPIRE-06-2015;Energy and resource management systems for improved efficiency in the process industries;;en
665144;ISSI-1-2015;Pan-European public outreach: exhibitions and science caf�s engaging citizens in science;;en
664803;ICT-18-2014;Support the growth of ICT innovative Creative Industries SMEs;;en
664746;SFS-14b-2015;Authentication of food products ;;en
664563;WATER-1a-2014;First application and market replication ;;en
664754;BG-03-2014;Novel marine derived biomolecules and industrial biomaterials;;en
664805;ICT-20-2015;Technologies for better human learning and teaching;;en
664603;WIDESPREAD-1-2014;Teaming;;en
664801;ICT-16-2015;Big data - research;;en
664752;BG-01-2015;Improving the preservation and sustainable exploitation of Atlantic marine ecosystems;;en
664755;BG-04-2014;Enhancing the industrial exploitation potential of marine-derived enzymes;;en
664757;BG-06-2014;Delivering the sub-sea technologies for new services at sea;;en
665142;GERI-4-2015;Support to research organisations to implement gender equality plans;;en
664645;PROTEC-2-2014;Access technologies and characterisation for Near Earth Objects (NEOs);;en
664647;COMPET-02-2014;Independent access to space;;en
664743;SFS-12-2014;Assessing the health risks of combined human exposure to multiple food-related toxic substances;;en
664747;SFS-15-2014;Proteins of the future;;en
664609;MSCA-IF-2014-GF;Marie Sk?odowska-Curie Individual Fellowships (IF-GF);;en
664761;BG-10-2014;Consolidating the economic sustainability and competitiveness of European fisheries and aquaculture sectors to reap the potential of seafood markets;;en
664608;MSCA-ITN-2014-EJD;Marie Sk?odowska-Curie Innovative Training Networks (ITN-EJD);;en
664831;EUJ-3-2014;Access networks for densely located users;;en
664962;YOUNG-3-2015;Lifelong learning for young adults: better policies for growth and inclusion in Europe;;en
664612;INFRADEV-3-2015;Individual implementation and operation of ESFRI projects;;en
664741;SFS-11a-2014;Optimizing space availability for European Aquaculture ;;en
664745;SFS-14a-2014;Authentication of olive oil ;;en
664744;SFS-13-2015;Biological contamination of crops and the food chain;;en
664562;WASTE-7-2015;Ensuring sustainable use of agricultural waste, co-products and by-products;;en
665035;NMP-35-2014;Business models with new supply chains for sustainable customer-driven small series production;;en
664610;INFRADEV-1-2014;Design studies;;en
665045;FoF-06-2014;Symbiotic human-robot collaboration for safe and dynamic multimodal manufacturing systems;;en
664758;BG-07-2015;Response capacities to oil spills and marine pollutions;;en
664762;BG-11-2014;Monitoring, dissemination and uptake of marine and maritime research;;en
664716;WASTE-6b-2015;Eco-innovative strategies;;en
664564;WATER-1b-2015;Demonstration/pilot activities ;;en
664992;INSO-3-2014;The economic impact of the Innovation Union;;en
664718;SC5-11d-2015;New sustainable exploration technologies and geomodels ;;en
664720;SC5-03b-2014;Linkages between climate change actions and sustainable development;;en
664846;LCE-02-2015;Developing the next generation technologies of renewable electricity and heating/cooling;;en
664756;BG-05-2014;Preparing for the future innovative offshore economy;;en
664960;YOUNG-1-2014;Early job insecurity and labour market exclusion;;en
664760;BG-09-2014;Acoustic and imaging technologies;;en
664759;BG-08-2014;Developing in-situ Atlantic Ocean Observations for a better management and sustainable exploitation of the maritime resources;;en
665138;GERI-1-2014;Innovative approach to communication encouraging girls to study science;;en
664836;SFS-01b-2014;Tackling losses from terrestrial animal diseases ;;en
664970;REFLECTIVE-6-2015;Innovation ecosystems of digital cultural assets;;en
664847;LCE-03-2014;Demonstration of renewable electricity and heating/cooling technologies;;en
664963;YOUNG-4-2015;The young as a driver of social change;;en
664717;SC5-10b-2014;Structuring research on soil, land-use and land management in Europe;;en
664650;COMPET-05-2014;In-Orbit demonstration/Validation (IOD/IOV);;en
664855;LCE-09-2015;Large scale energy storage;;en
664724;SC5-13f-2015;Strategic international dialogues and cooperation with raw materials producing countries and industry;;en
664972;REFLECTIVE-8-2015;Communication and dissemination platform;;en
664823;ICT-37-2015;Open Disruptive Innovation Scheme (implemented through the SME instrument);;en
