code;title;description;language
OET;Autres thèmes liés à l'énergie;;fr
OET;Other Energy Topics;"Demand analysis and utilization strategies; energy statistics; general energy topics not included elsewhere.";en
OET;Otros temas relacionados con la energía;;es
REF;Referenzmaterialien;;de
REF;Materiali di riferimento;;it
REF;Materialy referencyjne;;pl
REF;Matériaux de référence;;fr
REF;Reference Materials;"Preparation and distribution of certified reference material (CRM) samples for standardization, harmonization and comparison of analyses and measurements; technical specification of CRMs; storage and preservation of CRMs.";en
REF;Materiales de referencia;;es
TEC;Sonstige Technik;;de
TEC;Altre tecnologie;;it
TEC;Inne technologie;;pl
TEC;Autres technologies;;fr
TEC;Other Technology;"Textile technology; laser technology; membrane technology; vacuum engineering; hydraulics; particle technology; other specific technologies not included elsewhere.";en
TEC;Otras tecnologías;;es
EVA;Bewertung;;de
EVA;Valutazione;;it
EVA;Ocena;;pl
EVA;Evaluation;;fr
EVA;Evaluation;"Evaluation of Community RTD programmes; evaluation methodologies.";en
EVA;Evaluación;;es
FFU;Fossile Brennstoffe;;de
FFU;Combustibili fossili;;it
FFU;Paliwa kopalne;;pl
FFU;Combustibles fossiles;;fr
FFU;Fossil Fuels;"Coal and hydrocarbons; petroleum products; coke; by-products; transporting and storage of hydrocarbons; liquefaction and gasification of solid fuels; exploration; mining, processing and utilization.";en
FFU;Combustibles fósiles;;es
NET;Netzwerktechnologien ;;de
NET;Tecnologie di rete ;;it
NET;Technologie sieciowe ;;pl
NET;Technologies de réseaux ;;fr
NET;Network technologies ;;en
NET;Tecnologías de redes ;;es
IPR;Rechte an geistigem Eigentum;;de
IPR;Diritti di proprietà intellettuale;;it
IPR;Prawa własności intelektualnej;;pl
IPR;Droits de propriété intellectuelle ;;fr
IPR;Intellectual property rights;;en
IPR;Derechos de la propiedad intelectual;;es
IPS;Informationsverarbeitung und Informationssysteme;;de
IPS;Elaborazione dati e Sistemi di informazione;;it
IPS;Przetwarzanie informacji i systemy informacyjne;;pl
IPS;Traitement de l'information et systèmes d'information;;fr
IPS;Information Processing and Information Systems;"Technical aspects of information systems; computer hardware and software; data processing; databases; systems design and documentation; advanced systems architecture; expert systems; artificial inteligence (AI); computer-integrated manufacturing (CIM) systems; computer-aided design (CAD) systems; computer assisted translation (CAT) systems; cognitive science.";en
IPS;Tratamiento de la información y Sistemas de información;;es
SOC;Soziale Aspekte;;de
SOC;Aspetti sociali;;it
SOC;Aspekty spoleczne;;pl
SOC;Aspects sociaux;;fr
SOC;Social Aspects;"Social sciences; use of human resources; ergonomics; social implications of new technology; social effects of technology.";en
SOC;Aspectos sociales;;es
MET;Meteorologie;;de
MET;Meteorologia;;it
MET;Meteorologia;;pl
MET;Météorologie;;fr
MET;Meteorology;"Climatology; weather forecasting; weather modifications; collection and analysis of meteorological data.";en
MET;Meteorología;;es
ITT;Innovation und Technologietransfer;;de
ITT;Innovazione e trasferimento di tecnologie;;it
ITT;Innowacja i transfer technologii;;pl
ITT;Innovation et Transfert de technologies;;fr
ITT;Innovation and Technology Transfer;Development of mechanisms to promote innovation and technology transfer, utilization of the results of research, property rights and patents.;en
ITT;Innovación y transferencia de tecnologías;;es
LEG;Gesetze und Vorschriften;;de
LEG;Legislazione e regolamentazione;;it
LEG;Prawodawstwo i przepisy;;pl
LEG;Législation et règlements;;fr
LEG;Legislation and Regulations;Formulation, evaluation or application of laws and regulations, administrative measures, codes of conduct, decisions, directives or agreements for research and development in science and technology.;en
LEG;Legislación y reglamentación;;es
EMP;Beschäftigung ;;de
EMP;Temi legati all'occupazione ;;it
EMP;Zatrudnienie;;pl
EMP;Considérations d¿emploi ;;fr
EMP;Employment issues ;;en
EMP;Empleo ;;es
SCI;Wissenschaftliche Forschung;;de
SCI;Ricerca scientifica;;it
SCI;Badania Naukowe;;pl
SCI;Recherche scientifique;;fr
SCI;Scientific Research;General scientific and industrial research, or research not included elsewhere.;en
SCI;Investigación científica;;es
HCS;Gesundheitliche Versorgung/Leistungen ;;de
HCS;Servizi/prestazioni sanitarie ;;it
HCS;Opieka zdrowotna/służby zdrowia ;;pl
HCS;Prestations/services de soins de santé ;;fr
HCS;Healthcare delivery/services;;en
HCS;Servicios de salud ;;es
MEA;Meßverfahren;;de
MEA;Metodi di misurazione;;it
MEA;Metody pomiarowe;;pl
MEA;Méthodes de mesures;;fr
MEA;Measurement Methods;"Test facilities and methods; applied metrology; biomedical analyses; environmental analyses; verification methods; recording devices; non-destructive testing; online testing.";en
MEA;Métodos de medición;;es
FPR;Finanzierungsprogramm;;de
FPR;Programmi di finanziamento;;it
FPR;Programy finansowania;;pl
FPR;Programmes de financement;;fr
FPR;Funding Programmes;;en
FPR;Programas de financiación;;es
BIO;Biotechnologie;;de
BIO;Biotecnologia;;it
BIO;Biotechnologia;Biotechnologia;pl
BIO;Biotechnologie;;fr
BIO;Biotechnology;"Microbiology; cellular and molecular biology; genetic engineering; enzyme engineering; assessment of risk; applications of biotechnology in health, agriculture, food, industry and the environment.";en
BIO;Biotecnología;;es
MED;Medizin und Gesundheit;;de
MED;Medicina e sanità;;it
MED;Medycyna i zdrowie;;pl
MED;Médecine et santé;;fr
MED;Medicine and Health;"Human health (for veterinary medicine see ""Agriculture""); the effect of specific environments; public health;industrial medicine; medical research; nutrition; dentistry; nursing; physiology; pharmaceutical products; medical technology.";en
MED;Medicina y Sanidad;;es
ICT;Anwendungen der Informations- und Kommunikationstechnologie ;;de
ICT;Applicazioni della tecnologia dell'informazione e della comunica;;it
ICT;Technologie informacyjne i komunikacyjne ;;pl
ICT;Applications dans le domaine des technologies de l'information ;;fr
ICT;Information and communication technology applications ;;en
ICT;Aplicaciones de tecnología de la información y la comunicación ;;es
ABI;Landwirtschaftliche Biotechnologie ;;de
ABI;Biotecnologia agricola ;;it
ABI;Biotechnologia rolna ;;pl
ABI;Biotechnologie agricole ;;fr
ABI;Agricultural biotechnology ;;en
ABI;Biotecnología agrícola ;;es
