new_org_id	name	shortName	name_normal	country	numProj	nproj_with_contrib	totContribution
07002b2ea00f2040c227c2578a63e2c0	Atemis GmbH ingenieurburo fur abwassertechnik energiemanagement und innovative systementwicklung	Atemis GmbH	DE-atemis-gmbh-ingenieurburo-fur-abwassertechnik-energiemanagement-und-innovative-systementwicklung	DE	 1	 1	61425,00
0707dfc2ff9ed6a06412fc4e785d0625	WDE MASPELL SRL	WDE MASPELL SRL	IT-wde-maspell	IT	 1	 1	50000,00
070fbbbdc3c90025dcffe738d0db8f2f	ORINEO BVBA	ORINEO	BE-orineo-bvba	BE	 1	 1	132713,00
072c08176a6ccc49d48604d84a3b8d0e	EYDITI ENERGEIAKOS KAI PERIBALLONTIKOS SCHEDIASMOS EPE	EUDITI LTD	EL-eyditi-energeiakos-kai-periballontikos-schediasmos-epe	EL	 1	 1	50000,00
072c62819ce5c39349a9a58dc2913079	MALVERN INSTRUMENTS LTD	MIL	UK-malvern-instruments	UK	 1	 1	250000,00
07439b7987657ff293da6053327e39e4	BOSSCHAERT ANTON NIKOLAAS ADRIAAN	Except	NL-bosschaert-anton-nikolaas-adriaan	NL	 1		
07bf42e7e0e6b2758a52a0b0e915caca	SANTIERUL NAVAL DAMEN GALATI SA	DSGa	RO-santierul-naval-damen-galati-sa	RO	 1	 1	239137,50
07ebac7d55d0285ea07b1b869574db3d	CONFEDERACION EMPRESARIAL DE LA PROVINCIA DE ALICANTE	COEPA	ES-confederacion-empresarial-de-la-provincia-de-alicante	ES	 1		
0821d9af4dbb3ba27897a0c59ed9a783	UNIVERSITY OF THE WEST OF SCOTLAND	UWS	UK-university-of-the-west-of-scotland	UK	 1	 1	740476,00
0862aff2a67c1d2a6e7e368172c01972	GENOMIC EXPRESSION APS	Genomic Expression	DK-genomic-expression-aps	DK	 1	 1	50000,00
0875ac7ac4f3ca6bc6cbc058910cc858	ASSOCIATION DE LA PLATEFORME EUROPENNE NERIS	NERIS	FR-association-de-la-plateforme-europenne-neris	FR	 1	 1	102937,50
088359284ecb59da166900fa7e176ca5	CITYBILITY SRL	Citybility	IT-citybility	IT	 1	 1	50000,00
088dad04cc3c0fbfcedadda514089954	BEPART BV	BEPART BV	NL-bepart	NL	 1	 1	50000,00
08aa6ef25f9e9423a856804454d7ab4f	HITA TECHNOLOGY OF PLASTIC SYSTEMS SL	HITA TECHNOLOGY PLASTIC	ES-hita-technology-of-plastic-systems	ES	 1	 1	1140230,00
08d4a4e55208b786664d36e731307992	ALSTOM (SCHWEIZ) AG	ALSTOM CH	CH-alstom-schweiz	CH	 2		
08def3fb7572e9854bd9cf37d18d10fc	VECTOR INTERNATIONAL BVBA	C-CAM	BE-vector-international-bvba	BE	 1	 1	77988,00
09015ae05c045b16220b93fd8ec74db6	ASSOCIATION ALLIANCE EUROPEENNE ENRADIOECOLOGIE	ALLIANCE	FR-association-alliance-europeenne-enradioecologie	FR	 1	 1	41250,00
0906eecd7a3f8b77f028b0fb2fdf2734	BRITISH ALLIED TRADES FEDERATION LBG	SEA	UK-british-allied-trades-federation	UK	 1	 1	163625,00
090820d549be167a728daef8b605dd21	DESARROLLO Y GESTION INDUSTRIAL Y DEL MEDIO AMBIENTE SA	DEGIMA	ES-desarrollo-y-gestion-industrial-y-del-medio-ambiente-sa	ES	 1	 1	50000,00
090c704f8013729367bfebed3a7c2992	CAMARA OFICIAL DE COMERCIO, INDUSTRIA Y NAVEGACION DE GIPUZKOA	CAMARA OFICIAL DE COMERCIO, INDUSTRIA Y NAVEGACION DE GIPUZKOA	ES-camara-oficial-de-comercio-industria-y-navegacion-de-gipuzkoa	ES	 1		
091aec9b035ceaacdc0d70459de4c694	WINTERTHUR GAS & DIESEL AG	WinGD	CH-winterthur-gas-diesel	CH	 1		
093f1c654982bfda181996be3afd1a72	CINNOBER FINANCIAL TECHNOLOGY AB	Cinnober	SE-cinnober-financial-technology-ab	SE	 1	 1	2203740,00
096425a5d61634914abe2c3dd69f11c2	SIM4TEC GMBH	SIM4TEC	DE-sim4tec	DE	 1	 1	256250,00
09c0ddf066d5b4a950a830378d509bc7	CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL	BMDC Economic Development	UK-city-of-bradford-metropolitan-district-council	UK	 1		
09cb74833a4a158ddc59903e1443b231	GEOMATICS RESEARCH & DEVELOPMENT SRL	GRED	IT-geomatics-research-development	IT	 1	 1	50000,00
09dfe20dfdeb13266a9e2b69ec01b01c	Reading Borough Council	Reading Borough Council	UK-reading-borough-council	UK	 1	 1	60031,00
09e0d46d756adb98f5bde7879a311a29	HYPERTAC	HYPERTAC	FR-hypertac	FR	 1	 1	111956,00
09ef963496166b377945beb5de2d046f	GESELLSCHAFT FUR ANLAGEN UND REAKTORSICHERHEIT (GRS) MBH	GESELLSCHAFT FUER ANLAGEN- UND REAKTORSICHERHEIT (GRS) MBH	DE-gesellschaft-fur-anlagen-und-reaktorsicherheit-grs-mbh	DE	 3	 2	255407,50
0a166cca96310a6748cb67af8a19fe33	SOCIAL IMPACT LAB CIC	Social Impact Lab CIC	UK-social-impact-lab-cic	UK	 1	 1	752291,00
0a4047d0ce103b607d09cdef20bc26b1	ETAIREIA AXIOPOIISEOS KAI DIACHEIRISEOS TIS PERIOUSIAS TOU ETHNIKOU METSOVIOU POLYTECHNEIOU (E.M.P.)	NTUA /AMDC	EL-etaireia-axiopoiiseos-kai-diacheiriseos-tis-periousias-tou-ethnikou-metsoviou-polytechneiou-e-m-p	EL	 1	 1	59750,00
